idna_subject,checker_type,destination,tested_at
included_at_epoch,AVAILABILITY,boobistan.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-28T22:11,AVAILABILITY,boobistan.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boobistan.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-28T22:11,AVAILABILITY,boobistan.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boobistan.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boobleaustralia.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-28T22:11,AVAILABILITY,boobleaustralia.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boobleaustralia.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-28T22:11,AVAILABILITY,boobleaustralia.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boobleaustralia.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boobmadelybln.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-28T22:11,AVAILABILITY,boobmadelybln.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boobmadelybln.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-28T22:11,AVAILABILITY,boobmadelybln.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boobmadelybln.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boobschronicle.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-28T22:11,AVAILABILITY,boobschronicle.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boobschronicle.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-28T22:11,AVAILABILITY,boobschronicle.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boobschronicle.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boobsvidaguerra.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boobsvidaguerra.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boobsvidaguerra.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boobsvidaguerra.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boobsvidaguerra.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boohnickbcq.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boohnickbcq.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boohnickbcq.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boohnickbcq.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boohnickbcq.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,bootilicious1.blogspot.am,2021-01-20 13:43:39.195688
